user_type,pair,hash,height,time,order_id,status,direction,bidder_addr,offer_amount,ask_amount,leverage,margin_amount,entry_price,take_profit,stop_loss,pnl,fee,funding_payment,,
USER,ORAI_USDC,3607BF4C32D1D63A6E315B0A5040DDD96860306329AC1993DD6A64B9B57F7891,14553869,2023-11-25 21:53:46,31,TP,SELL,orai1x9dvpscythaz0mw8zj5re6f3qdpk347epc272q,324.677194,84.466343,3,109.908446,3.898945,3.859955,3.937933,4.652474,0.13189,0,,
BOT,ORAI_USDC,43CE5AB88A66AC821F31A188479FDE99BF7671AFB6ABDC9D9DA720ED28696CAE,14554212,2023-11-25 22:26:28,32,Close,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,3758.618249,981.246015,3,1271.706399,3.888035,3.823222,5.054429,56.500948,1.52788,-3.951477,,
BOT,ORAI_USDC,43CE5AB88A66AC821F31A188479FDE99BF7671AFB6ABDC9D9DA720ED28696CAE,14554212,2023-11-25 22:26:28,33,Close,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,6675.62151,1730.458666,3,2226.798839,3.860477,3.796115,5.018592,4.775007,2.675368,-6.968557,,
USER,ORAI_USDC,3B99FFD18B2CFC2E7E8BFC3E783911DE1374B9B546BCDB8228A0483819128884,14554180,2023-11-25 22:23:26,34,TP,BUY,orai1x9dvpscythaz0mw8zj5re6f3qdpk347epc272q,348.994802,89.057405,3,114.29714,3.845608,3.884066,3.807154,6.51485,0.137156,0.358634,,
BOT,ORAI_USDC,39484E255BA49B5D72C436D1232C95379818A9E303F05023212CA002868E34E7,14554302,2023-11-25 22:35:02,35,Close,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,4629.803047,1199.846601,3,1533.59331,3.834473,3.77055,4.984795,-29.023117,1.842522,-4.831782,,
BOT,ORAI_USDC,2C511824FBD59E8B91359843347FB5711D5F6D9FF1E1EA00C55EE88628A1A859,14554517,2023-11-25 22:55:31,36,Close,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,18772.12741,4788.745024,3,6175.796913,3.868944,3.806204,5.03193,-244.736666,7.41986,0,,
USER,ORAI_USDC,384D8B00E539655FE33B055736B3B917950A1C50329A9E7D26E0CB23A27FB02C,14554187,2023-11-25 22:24:05,37,Close,SELL,orai18vyspza5ndpg5wss0u7mqs7g50zekjrjvc2dys,599.280004,156.916676,3,199.76,3.819096,3.787497,0,-0.000004,0.24,0,,
BOT,ORAI_USDC,C1304E9E938B1E3E381370973EA623688800FBF2AAC876239C5134053D19A669,14555240,2023-11-26 00:04:31,38,Close,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,5127.093698,1324.313159,3,1704.751328,3.861816,3.797436,5.02034,-12.839714,2.048158,-4.741041,,
USER,ORAI_USDC,C33C6F79F28BE5DA4188A55B1DB82581DAA0E96F345D5E90F7EE1716CF4BE0E5,14554518,2023-11-25 22:55:36,39,SL,SELL,orai1x9dvpscythaz0mw8zj5re6f3qdpk347epc272q,371.655196,93.59448,3,120.179044,3.847497,3.83555,3.913036,-11.550706,0.144214,0,,
USER,ORAI_USDC,47A9BA67F9CD6B3F412FB2F8E477AD1C41D4A55CB1824FDC0E3737F5895D0DAD,14554521,2023-11-25 22:55:54,40,TP,SELL,orai1x9dvpscythaz0mw8zj5re6f3qdpk347epc272q,317.468046,81.749411,3,108.33991,3.971034,3.931323,4.010743,7.161666,0.130006,0,,
